Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"1D4EB6","1D4EB6","Mso30win32client.dll",0.1345,13.1051,0.1345,13.1051
"1D4EDE","1D4EDE","Mso30win32client.dll",0.1010,9.8378,0.1010,9.8378
"1D4EB2","1D4EB2","Mso30win32client.dll",0.0856,8.3373,0.0856,8.3373
"1D4DFA","1D4DFA","Mso30win32client.dll",0.0652,6.3520,0.0652,6.3520
"1D4E61","1D4E61","Mso30win32client.dll",0.0617,6.0119,0.0617,6.0119
"1D4F2D","1D4F2D","Mso30win32client.dll",0.0512,4.9837,0.0512,4.9837
"1D4E20","1D4E20","Mso30win32client.dll",0.0511,4.9787,0.0511,4.9787
"1D4EFC","1D4EFC","Mso30win32client.dll",0.0488,4.7571,0.0488,4.7571
"18A6B","18A6B","Mso30win32client.dll",0.0424,4.1268,0.0424,4.1268
"1D4E27","1D4E27","Mso30win32client.dll",0.0413,4.0191,0.0413,4.0191
"1D4E37","1D4E37","Mso30win32client.dll",0.0402,3.9195,0.0402,3.9195
"1D4ECD","1D4ECD","Mso30win32client.dll",0.0355,3.4549,0.0355,3.4549
"1D4EF4","1D4EF4","Mso30win32client.dll",0.0350,3.4107,0.0350,3.4107
"21DD27","21DD27","Mso30win32client.dll",0.0342,3.3308,0.0342,3.3308
"21DDD4","21DDD4","Mso30win32client.dll",0.0308,3.0045,0.0308,3.0045
"1D4F17","1D4F17","Mso30win32client.dll",0.0308,3.0041,0.0308,3.0041
"1DA1B0","1DA1B0","Mso30win32client.dll",0.0308,2.9997,0.0308,2.9997
"21DD56","21DD56","Mso30win32client.dll",0.0306,2.9858,0.0306,2.9858
"A54B","A54B","Mso30win32client.dll",0.0306,2.9801,0.0306,2.9801
"1D4EC8","1D4EC8","Mso30win32client.dll",0.0304,2.9663,0.0304,2.9663
"21DDDF","21DDDF","Mso30win32client.dll",0.0268,2.6128,0.0268,2.6128
"1D4E0F","1D4E0F","Mso30win32client.dll",0.0243,2.3655,0.0243,2.3655
"1D4E2B","1D4E2B","Mso30win32client.dll",0.0230,2.2415,0.0230,2.2415
"1D46F8","1D46F8","Mso30win32client.dll",0.0213,2.0730,0.0213,2.0730
"21DD5B","21DD5B","Mso30win32client.dll",0.0209,2.0336,0.0209,2.0336
"27E26D","27E26D","Mso30win32client.dll",0.0208,2.0313,0.0208,2.0313
"1D4E8B","1D4E8B","Mso30win32client.dll",0.0208,2.0290,0.0208,2.0290
"CEB1","CEB1","Mso30win32client.dll",0.0206,2.0033,0.0206,2.0033
"21DD0E","21DD0E","Mso30win32client.dll",0.0205,2.0022,0.0205,2.0022
"1D4EE3","1D4EE3","Mso30win32client.dll",0.0205,2.0021,0.0205,2.0021
"10F6BE","10F6BE","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"17C999","17C999","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"17CEE","17CEE","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"18A05","18A05","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"18A7A","18A7A","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"1D0FF5","1D0FF5","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"1D41D4","1D41D4","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"1D4B18","1D4B18","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"1E047A","1E047A","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"25FD20","25FD20","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"35804","35804","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"383E40","383E40","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"3C104","3C104","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"3E9C5E","3E9C5E","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"41E2F","41E2F","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"41E35","41E35","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"479D50","479D50","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"4AF34","4AF34","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"4E8B8","4E8B8","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"52595C","52595C","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
"57E7C","57E7C","Mso30win32client.dll",0.0205,2.0000,0.0205,2.0000
